id_respondente,sexo_desc,escolaridade_desc,raca_desc,religiao_desc,rend1_desc,rend2_desc,regiao_desc,cond_desc,porte_desc,p4_desc,p6a_desc,p6b_desc,p6c_desc,p6d_desc,p6e_desc,idade_num,idade_num_norm,p5_desc
952,MAS,3ª série,Branca,Católica Apostólica Romana,ATÉ 1,MAIS DE 1 A 2,SUL,PERIFERIA,DE 100.001 A 500.000,Vender roupas e outros artigos usados,Concorda totalmente,"Não concorda, nem discorda","Não concorda, nem discorda",Discorda totalmente,Concorda totalmente,21.0,0.06756756756756754,Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos
953,MAS,3ª série,Branca,Católica Apostólica Romana,MAIS DE 1 A 2,MAIS DE 2 A 5,SUL,PERIFERIA,DE 100.001 A 500.000,"Bico de serviços gerais, como faxina, manutenção, reformas, jardinagem, “marido de aluguel”, entre outras",Não sabe/ Não respondeu,Concorda totalmente,Concorda totalmente,Discorda em parte,Concorda totalmente,32.0,0.21621621621621623,Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos
954,MAS,7ª série (ou 8º ano),Parda,Adventista,MAIS DE 1 A 2,MAIS DE 2 A 5,SUL,PERIFERIA,DE 100.001 A 500.000,Não precisou fazer atividade extra,Concorda em parte,Concorda totalmente,Não sabe/ Não respondeu,"Não concorda, nem discorda",Concorda totalmente,59.0,0.5810810810810811,Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos
955,FEM,3ª série,Preta,Católica Apostólica Romana,ATÉ 1,ATÉ 1,SUDESTE,INTERIOR,DE 10.001 A 20.000,Não precisou fazer atividade extra,Concorda totalmente,Concorda totalmente,Concorda totalmente,Discorda totalmente,Discorda totalmente,43.0,0.3648648648648649,Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos
956,FEM,3ª série,Branca,Católica Apostólica Romana,MAIS DE 2 A 5,MAIS DE 2 A 5,NORTE,INTERIOR,DE 10.001 A 20.000,Vendedor ambulante/ Camelô,Concorda totalmente,Concorda em parte,Concorda em parte,Discorda totalmente,Discorda totalmente,48.0,0.43243243243243246,Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos
957,FEM,3ª série,Parda,Assembléia de Deus,MAIS DE 2 A 5,MAIS DE 2 A 5,NORTE,INTERIOR,DE 10.001 A 20.000,Não sabe/ Não respondeu,Discorda em parte,Concorda totalmente,Discorda totalmente,Concorda totalmente,Concorda totalmente,35.0,0.2567567567567568,Não tenho percebido/ visto aumento de pessoas em situação de pobreza na cidade
958,FEM,3ª série,Branca,"Ateu, não tem religião",ATÉ 1,MAIS DE 1 A 2,NORTE,INTERIOR,DE 10.001 A 20.000,"Bico de serviços de beleza (cabeleireiro, barbeiro, manicure, depilação, entre outros)",Concorda em parte,Concorda totalmente,Concorda totalmente,Discorda em parte,Concorda totalmente,25.0,0.1216216216216216,Não tenho percebido/ visto aumento de pessoas em situação de pobreza na cidade
959,MAS,4ª série (ou 5º ano),Parda,Católica Apostólica Romana,MAIS DE 2 A 5,MAIS DE 2 A 5,CENTRO OESTE,INTERIOR,DE 100.001 A 500.000,"Bico de serviços gerais, como faxina, manutenção, reformas, jardinagem, “marido de aluguel”, entre outras",Discorda totalmente,Discorda totalmente,Não sabe/ Não respondeu,Concorda em parte,Discorda totalmente,46.0,0.4054054054054055,Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos
960,FEM,Superior incompleto,Branca,"Ateu, não tem religião",MAIS DE 1 A 2,MAIS DE 5 A 10,SUL,CAPITAL,MAIS DE 500.000,Dar aula particular/ aula de reforço,Concorda totalmente,Concorda totalmente,Concorda totalmente,Discorda totalmente,Discorda totalmente,27.0,0.14864864864864868,Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos
961,MAS,Superior completo,Branca,Católica Apostólica Romana,MAIS DE 5 A 10,MAIS DE 5 A 10,SUDESTE,INTERIOR,DE 50.001 A 100.000,Não precisou fazer atividade extra,Concorda totalmente,Concorda em parte,Concorda totalmente,Concorda totalmente,Concorda totalmente,66.0,0.6756756756756757,Não tenho percebido/ visto aumento de pessoas em situação de pobreza na cidade
